"origine";"destination";"premiereclasse";"secondeclasse";"loisir2nd";"Commentaires"
"2033";"LE POULIGUEN";"AEROPORT CDG 2 TGV ROISSY";"126";25;"87";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2034";"LE POULIGUEN";"GRENOBLE";"165";25;"125";""
"2035";"LE POULIGUEN";"LA BAULE ESCOUBLAC";"3,8";NA;"1,6";""
"2036";"LE POULIGUEN";"LE CREUSOT MONTCEAU MONTCHANIN";"140";NA;"107";""
"2037";"LE POULIGUEN";"LE CROISIC";"5,4";NA;"2,9";""
"2038";"LE POULIGUEN";"LILLE EUROPE";"140";25;"108";""
"2039";"LE POULIGUEN";"LYON PART DIEU";"150";25;"113";""
"2040";"LE POULIGUEN";"LYON PERRACHE";"150";25;"113";""
"2041";"LE POULIGUEN";"LYON ST EXUPERY";"150";25;"113";""
"2042";"LE POULIGUEN";"MARNE LA VALLEE CHESSY";"126";25;"87";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2043";"LE POULIGUEN";"NANTES";"26";NA;"18";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2044";"LE POULIGUEN";"PARIS MONTPARNASSE 1 ET 2";"126";25;"87";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2045";"LE POULIGUEN";"SABLE";"55";NA;"39";""
"2046";"LE POULIGUEN";"ST NAZAIRE";"10,5";NA;"6,7";""
"2047";"LE POULIGUEN";"ST PIERRE DES CORPS";"67";NA;"46";""
"2048";"LE POULIGUEN";"TGV HAUTE PICARDIE";"124";NA;"98";""
"2049";"LE TEIL";"AGDE";"57";NA;"39";""
"2050";"LE TEIL";"HYERES";"68";15;"47";""
"2051";"LE TEIL";"LE CREUSOT MONTCEAU MONTCHANIN";"75";20;"51";""
"2052";"LE TEIL";"LYON PART DIEU";"47";NA;"35";""
"2053";"LE TEIL";"LYON PERRACHE";"47";NA;"35";""
"2054";"LE TEIL";"LYON ST EXUPERY";"47";NA;"35";""
"2055";"LE TEIL";"MARSEILLE BLANCARDE";"51";NA;"36";""
"2056";"LE TEIL";"MARSEILLE ST CHARLES";"51";NA;"36";""
"2057";"LE TEIL";"MIRAMAS";"43";NA;"30";""
"2058";"LE TEIL";"MONTPELLIER";"48";NA;"34";""
"2059";"LE TEIL";"NARBONNE";"66";15;"45";""
"2060";"LE TEIL";"ORANGE";"18,5";NA;"12,6";""
"2061";"LE TEIL";"PARIS GARE DE LYON";"144";25;"105";""
"2062";"LE TEIL";"PARIS NORD";"144";25;"105";""
"2063";"LE TEIL";"PERPIGNAN";"78";20;"52";""
"2064";"LE TEIL";"SETE";"52";NA;"37";""
"2065";"LE TEIL";"TOULON";"65";15;"44";""
"2066";"LE TEIL";"VALENCE";"17";NA;"11,3";""
"2067";"LE TEIL";"VILLENEUVE LES AVIGNONS";"24";NA;"17,5";""
"2068";"LENS";"ST OMER";"23";NA;"16";""
"2069";"LEPIN LE LAC LA BAUCHE";"AIME LA PLAGNE";"31";NA;"21";""
"2070";"LEPIN LE LAC LA BAUCHE";"ALBERTVILLE";"31";NA;"20,5";""
"2071";"LEPIN LE LAC LA BAUCHE";"BOURG ST MAURICE";"31";NA;"21";""
"2072";"LEPIN LE LAC LA BAUCHE";"CLUSES 74";"36";NA;"24";""
"2073";"LEPIN LE LAC LA BAUCHE";"DOUAI";"192";30;"125";""
"2074";"LEPIN LE LAC LA BAUCHE";"LANDRY";"31";NA;"21";""
"2075";"LEPIN LE LAC LA BAUCHE";"LILLE EUROPE";"192";30;"125";""
"2076";"LEPIN LE LAC LA BAUCHE";"MOUTIERS SALINS BRIDES";"31";NA;"21";""
"2077";"LEPIN LE LAC LA BAUCHE";"ROUEN RIVE DROITE";"160";NA;"121";""
"2078";"LEPIN LE LAC LA BAUCHE";"SALLANCHES COMBLOUX MEGEVE";"36";NA;"24";""
"2079";"LEPIN LE LAC LA BAUCHE";"ST GERVAIS LES BAINS LE FAYET";"36";NA;"24";""
"2080";"LES ARCS DRAGUIGNAN";"ST RAPHAEL VALESCURE";"13";NA;"8,2";""
"2081";"LES ARCS DRAGUIGNAN";"VENTIMIGLIA STAZIONE";"36";NA;"24";""
"2082";"LES ARCS DRAGUIGNAN";"VENTIMIGLIA STAZIONE  (IT)";"36";NA;"24";""
"2083";"LES AUBRAIS ORLEANS";"AEROPORT CDG 2 TGV ROISSY";"63";NA;"48";""
"2084";"LES AUBRAIS ORLEANS";"BLOIS";"20";NA;"13,7";""
"2085";"LES AUBRAIS ORLEANS";"LA SOUTERRAINE";"57";NA;"38";""
"2086";"LES AUBRAIS ORLEANS";"LILLE EUROPE";"111";25;"88";""
"2087";"LES AUBRAIS ORLEANS";"MARNE LA VALLEE CHESSY";"55";NA;"44";""
"2088";"LES AUBRAIS ORLEANS";"ST PIERRE DES CORPS";"35";NA;"23,5";""
"2089";"LES AUBRAIS ORLEANS";"VIERZON VILLE";"26,5";NA;"18,5";""
"2090";"LES SABLES D'OLONNE ";"PARIS MONTPARNASSE 1 ET 2";"128";25;"88";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2091";"LES SABLES D'OLONNE";"LA ROCHE SUR YON";"14,2";NA;"10,6";""
"2092";"LES SABLES D'OLONNE";"NANTES";"34";NA;"22";""
"2093";"LES SABLES D'OLONNE";"PARIS MONTPARNASSE 1 ET 2";"122";25;"85";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2094";"LES SABLES D'OLONNE";"SABLE";"62";NA;"42";""
"2095";"LIBOURNE ";"ST PIERRE DES CORPS";"78";20;"53";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2096";"LIBOURNE";"MONTAUBAN VILLE BOURBON";"60";15;"41";""
"2097";"LIBOURNE";"ST PIERRE DES CORPS";"74";20;"50";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2098";"LIBOURNE";"TARBES";"76";20;"52";""
"2099";"LIBOURNE";"TOULOUSE MATABIAU";"69";15;"47";""
"2100";"LILLE EUROPE ";"AURAY";"161";25;"122";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2101";"LILLE EUROPE ";" LIBOURNE";"172";25;"130";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2102";"LILLE EUROPE ";" LORIENT";"161";25;"122";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2103";"LILLE EUROPE ";" QUIMPER";"169";25;"131";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2104";"LILLE EUROPE ";"REDON";"144";25;"113";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2105";"LILLE EUROPE ";"RENNES";"144";25;"113";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2106";"LILLE EUROPE ";"ROSPORDEN";"169";25;"131";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2107";"LILLE EUROPE ";" ST MALO";"147";25;"116";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2108";"LILLE EUROPE ";" VANNES";"160";25;"121";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2109";"LILLE EUROPE";"AEROPORT CDG 2 TGV ROISSY";"82";15;"63";""
"2110";"LILLE EUROPE";"AGDE";"188";30;"150";""
"2111";"LILLE EUROPE";"AIME LA PLAGNE";"167";25;"127";""
"2112";"LILLE EUROPE";"AIX LES BAINS LE REVARD";"167";25;"127";""
"2113";"LILLE EUROPE";"ALBERTVILLE";"167";25;"127";""
"2114";"LILLE EUROPE";"ANNECY";"168";25;"127";""
"2115";"LILLE EUROPE";"ANNEMASSE";"167";NA;"127";""
"2116";"LILLE EUROPE";"ANTIBES";"196";30;"155";""
"2117";"LILLE EUROPE";"ARRAS";"20";NA;"13,7";""
"2118";"LILLE EUROPE";"AURAY";"150";25;"114";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2119";"LILLE EUROPE";"BAYONNE";"174";30;"144";""
"2120";"LILLE EUROPE";"BELFORT-MONTBELIARD TGV";"166";20;"129";""
"2121";"LILLE EUROPE";"BELLEGARDE";"167";25;"127";""
"2122";"LILLE EUROPE";"BESANCON FRANCHE-COMTE TGV";"155";20;"120";""
"2123";"LILLE EUROPE";"BETHUNE";"20";NA;"13,6";""
"2124";"LILLE EUROPE";"BOURG ST MAURICE";"167";25;"127";""
"2125";"LILLE EUROPE";"CALAIS FRETHUN";"39";NA;"26";""
"2126";"LILLE EUROPE";"DOUAI";"14,3";NA;"9,6";""
"2127";"LILLE EUROPE";"ECOLE VALENTIN";"155";NA;"120";""
"2128";"LILLE EUROPE";"FUTUROSCOPE";"143";25;"109";""
"2129";"LILLE EUROPE";"LA ROCHE SUR FORON";"167";NA;"127";""
"2130";"LILLE EUROPE";"LA ROCHELLE VILLE";"155";25;"122";""
"2131";"LILLE EUROPE";"LA SOUTERRAINE";"144";25;"114";""
"2132";"LILLE EUROPE";"LE CREUSOT MONTCEAU MONTCHANIN";"142";25;"111";""
"2133";"LILLE EUROPE";"LENS";"15,5";NA;"10,6";""
"2134";"LILLE EUROPE";"LES ARCS DRAGUIGNAN";"196";30;"155";""
"2135";"LILLE EUROPE";"LIBOURNE";"171";25;"130";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2136";"LILLE EUROPE";"LORIENT";"150";25;"114";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2137";"LILLE EUROPE";"LYON PART DIEU";"154";25;"116";""
"2138";"LILLE EUROPE";"LYON PERRACHE";"154";25;"116";""
"2139";"LILLE EUROPE";"MARMANDE";"174";30;"144";""
"2140";"LILLE EUROPE";"MARNE LA VALLEE CHESSY";"82";15;"63";""
"2141";"LILLE EUROPE";"MARSEILLE ST CHARLES";"184";30;"144";""
"2142";"LILLE EUROPE";"MASSY PALAISEAU";"82";15;"63";""
"2143";"LILLE EUROPE";"MONTAUBAN VILLE BOURBON";"174";30;"144";""
"2144";"LILLE EUROPE";"MONTPELLIER";"184";30;"144";""
"2145";"LILLE EUROPE";"MORLAIX";"161";25;"125";""
"2146";"LILLE EUROPE";"MOUCHARD";"139";25;"113";""
"2147";"LILLE EUROPE";"MOUTIERS SALINS BRIDES";"167";25;"127";""
"2148";"LILLE EUROPE";"NANTES";"137";25;"108";""
"2149";"LILLE EUROPE";"NARBONNE";"188";30;"150";""
"2150";"LILLE EUROPE";"NICE VILLE";"196";30;"155";""
"2151";"LILLE EUROPE";"NIORT";"149";25;"118";""
"2152";"LILLE EUROPE";"PARIS NORD";"82";15;"63";""
"2153";"LILLE EUROPE";"PERPIGNAN";"188";30;"150";""
"2154";"LILLE EUROPE";"POITIERS";"143";25;"109";""
"2155";"LILLE EUROPE";"QUIMPER";"161";25;"125";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2156";"LILLE EUROPE";"REDON";"137";25;"108";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2157";"LILLE EUROPE";"RENNES";"137";25;"108";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2158";"LILLE EUROPE";"ROSPORDEN";"161";25;"125";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2159";"LILLE EUROPE";"SALLANCHES COMBLOUX MEGEVE";"167";NA;"127";""
"2160";"LILLE EUROPE";"SAVENAY";"137";NA;"108";""
"2161";"LILLE EUROPE";"SAVERNE";"148";25;"123";""
"2162";"LILLE EUROPE";"SETE";"188";30;"150";""
"2163";"LILLE EUROPE";"ST BRIEUC";"153";25;"119";""
"2164";"LILLE EUROPE";"ST GERVAIS LES BAINS LE FAYET";"167";25;"127";""
"2165";"LILLE EUROPE";"ST JEAN DE LUZ CIBOURE";"174";30;"144";""
"2166";"LILLE EUROPE";"ST MALO";"140";25;"110";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2167";"LILLE EUROPE";"ST MICHEL VALLOIRE";"167";NA;"127";""
"2168";"LILLE EUROPE";"ST NAZAIRE";"140";25;"108";""
"2169";"LILLE EUROPE";"ST PIERRE DES CORPS";"134";25;"101";""
"2170";"LILLE EUROPE";"ST RAPHAEL VALESCURE";"196";30;"155";""
"2171";"LILLE EUROPE";"TGV HAUTE PICARDIE";"33";NA;"22,5";""
"2172";"LILLE EUROPE";"TOULON";"196";30;"155";""
"2173";"LILLE EUROPE";"TOULOUSE MATABIAU";"188";30;"150";""
"2174";"LILLE EUROPE";"VALENCE";"159";25;"127";""
"2175";"LILLE EUROPE";"VALENCE TGV";"159";25;"127";""
"2176";"LILLE EUROPE";"VANNES";"150";25;"114";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2177";"LILLE EUROPE";"VIERZON VILLE";"123";25;"97";""
"2178";"LILLE FLANDRES ";" ANGOULEME";"156";25;"120";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2179";"LILLE FLANDRES ";"AURAY";"161";25;"122";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2180";"LILLE FLANDRES ";" BORDEAUX ST JEAN";"177";25;"134";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2181";"LILLE FLANDRES ";" LIBOURNE";"172";25;"130";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2182";"LILLE FLANDRES ";" LORIENT";"161";25;"122";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2183";"LILLE FLANDRES ";" QUIMPER";"169";25;"131";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2184";"LILLE FLANDRES ";" QUIMPERLE";"169";25;"131";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2185";"LILLE FLANDRES ";"REDON";"144";25;"113";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2186";"LILLE FLANDRES ";"RENNES";"144";25;"113";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2187";"LILLE FLANDRES ";"ROSPORDEN";"169";25;"131";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2188";"LILLE FLANDRES ";" ST MALO";"147";25;"116";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2189";"LILLE FLANDRES ";" VANNES";"160";25;"121";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2190";"LILLE FLANDRES";"AEROPORT CDG 2 TGV ROISSY";"82";15;"63";""
"2191";"LILLE FLANDRES";"AGDE";"188";30;"150";""
"2192";"LILLE FLANDRES";"AGEN";"174";30;"144";""
"2193";"LILLE FLANDRES";"AIME LA PLAGNE";"167";25;"127";""
"2194";"LILLE FLANDRES";"AIX EN PROVENCE TGV";"184";30;"144";""
"2195";"LILLE FLANDRES";"AIX LES BAINS LE REVARD";"167";25;"127";""
"2196";"LILLE FLANDRES";"ALBERTVILLE";"167";25;"127";""
"2197";"LILLE FLANDRES";"ANGOULEME";"155";25;"119";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2198";"LILLE FLANDRES";"ANNECY";"168";25;"127";""
"2199";"LILLE FLANDRES";"ANNEMASSE";"167";25;"127";""
"2200";"LILLE FLANDRES";"ANTIBES";"196";30;"155";""
"2201";"LILLE FLANDRES";"ARRAS";"20";NA;"13,7";""
"2202";"LILLE FLANDRES";"AVIGNON";"180";NA;"144";""
"2203";"LILLE FLANDRES";"AVIGNON TGV";"180";30;"144";""
"2204";"LILLE FLANDRES";"BAYONNE";"174";30;"144";""
"2205";"LILLE FLANDRES";"BELFORT-MONTBELIARD TGV";"166";20;"129";""
"2206";"LILLE FLANDRES";"BELLEGARDE";"167";25;"127";""
"2207";"LILLE FLANDRES";"BESANCON FRANCHE-COMTE TGV";"155";20;"120";""
"2208";"LILLE FLANDRES";"BEZIERS";"188";30;"150";""
"2209";"LILLE FLANDRES";"BIARRITZ";"174";30;"144";""
"2210";"LILLE FLANDRES";"BORDEAUX ST JEAN";"171";25;"130";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2211";"LILLE FLANDRES";"BOULOGNE VILLE";"47";NA;"32";""
"2212";"LILLE FLANDRES";"BOURG ST MAURICE";"167";25;"127";""
"2213";"LILLE FLANDRES";"BREST";"161";NA;"125";""
"2214";"LILLE FLANDRES";"BRIVE LA GAILLARDE";"163";25;"130";""
"2215";"LILLE FLANDRES";"CALAIS VILLE";"39";NA;"26";""
"2216";"LILLE FLANDRES";"CANNES";"196";30;"155";""
"2217";"LILLE FLANDRES";"CARCASSONNE";"188";30;"150";""
"2218";"LILLE FLANDRES";"CHAMBERY CHALLES LES EAUX";"167";25;"127";""
"2219";"LILLE FLANDRES";"CHAMPAGNE ARDENNE";"96";20;"80";""
"2220";"LILLE FLANDRES";"CHATEAUROUX";"132";25;"105";""
"2221";"LILLE FLANDRES";"CLUSES 74";"167";25;"127";""
"2222";"LILLE FLANDRES";"CROIX WASQUEHAL";"6,1";NA;"2,9";""
"2223";"LILLE FLANDRES";"DOUAI";"14,3";NA;"9,6";""
"2224";"LILLE FLANDRES";"ECOLE VALENTIN";"155";NA;"120";""
"2225";"LILLE FLANDRES";"FUTUROSCOPE";"143";25;"109";""
"2226";"LILLE FLANDRES";"GRENOBLE";"167";25;"127";""
"2227";"LILLE FLANDRES";"GUINGAMP";"153";NA;"119";""
"2228";"LILLE FLANDRES";"HENDAYE";"174";30;"144";""
"2229";"LILLE FLANDRES";"JUVISY TGV";"82";15;"63";""
"2230";"LILLE FLANDRES";"LA ROCHE SUR FORON";"167";25;"127";""
"2231";"LILLE FLANDRES";"LA SOUTERRAINE";"144";25;"114";""
"2232";"LILLE FLANDRES";"LAMBALLE";"153";NA;"119";""
"2233";"LILLE FLANDRES";"LANDRY";"167";25;"127";""
"2234";"LILLE FLANDRES";"LE CREUSOT MONTCEAU MONTCHANIN";"142";25;"111";""
"2235";"LILLE FLANDRES";"LE MANS";"115";25;"92";""
"2236";"LILLE FLANDRES";"LES ARCS DRAGUIGNAN";"196";NA;"155";""
"2237";"LILLE FLANDRES";"LES AUBRAIS ORLEANS";"111";25;"88";""
"2238";"LILLE FLANDRES";"LIBOURNE";"171";25;"130";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2239";"LILLE FLANDRES";"LIMOGES BENEDICTINS";"149";25;"119";""
"2240";"LILLE FLANDRES";"LORRAINE TGV";"122";25;"102";""
"2241";"LILLE FLANDRES";"LYON PART DIEU";"154";25;"116";""
"2242";"LILLE FLANDRES";"LYON PERRACHE";"154";25;"116";""
"2243";"LILLE FLANDRES";"LYON ST EXUPERY";"154";25;"116";""
"2244";"LILLE FLANDRES";"MARNE LA VALLEE CHESSY";"82";15;"63";""
"2245";"LILLE FLANDRES";"MARSEILLE ST CHARLES";"184";30;"144";""
"2246";"LILLE FLANDRES";"MASSY TGV";"82";15;"63";""
"2247";"LILLE FLANDRES";"MODANE";"167";NA;"127";""
"2248";"LILLE FLANDRES";"MONTAUBAN VILLE BOURBON";"174";30;"144";""
"2249";"LILLE FLANDRES";"MONTBARD";"121";25;"102";""
"2250";"LILLE FLANDRES";"MONTPELLIER";"184";30;"144";""
"2251";"LILLE FLANDRES";"MORLAIX";"161";NA;"125";""
"2252";"LILLE FLANDRES";"MOUTIERS SALINS BRIDES";"167";25;"127";""
"2253";"LILLE FLANDRES";"MULHOUSE VILLE";"175";20;"136";""
"2254";"LILLE FLANDRES";"NANCY VILLE";"122";25;"102";""
"2255";"LILLE FLANDRES";"NANTES";"137";25;"108";""
"2256";"LILLE FLANDRES";"NARBONNE";"188";30;"150";""
"2257";"LILLE FLANDRES";"NICE VILLE";"196";30;"155";""
"2258";"LILLE FLANDRES";"NIMES";"184";30;"144";""
"2259";"LILLE FLANDRES";"NIORT";"149";25;"118";""
"2260";"LILLE FLANDRES";"PARIS NORD";"82";15;"63";""
"2261";"LILLE FLANDRES";"PERPIGNAN";"188";30;"150";""
"2262";"LILLE FLANDRES";"POITIERS";"143";25;"109";""
"2263";"LILLE FLANDRES";"RENNES";"137";25;"108";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2264";"LILLE FLANDRES";"ROUBAIX";"7";NA;"3,7";""
"2265";"LILLE FLANDRES";"SALLANCHES COMBLOUX MEGEVE";"167";25;"127";""
"2266";"LILLE FLANDRES";"SETE";"188";30;"150";""
"2267";"LILLE FLANDRES";"ST AVRE LA CHAMBRE";"167";NA;"127";""
"2268";"LILLE FLANDRES";"ST BRIEUC";"153";NA;"119";""
"2269";"LILLE FLANDRES";"ST GERVAIS LES BAINS LE FAYET";"167";25;"127";""
"2270";"LILLE FLANDRES";"ST JEAN DE LUZ CIBOURE";"174";30;"144";""
"2271";"LILLE FLANDRES";"ST JEAN DE MAURIENNE ARVAN";"167";NA;"127";""
"2272";"LILLE FLANDRES";"ST MALO";"140";25;"110";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2273";"LILLE FLANDRES";"ST MICHEL VALLOIRE";"167";NA;"127";""
"2274";"LILLE FLANDRES";"ST PIERRE DES CORPS";"134";25;"101";""
"2275";"LILLE FLANDRES";"ST RAPHAEL VALESCURE";"196";30;"155";""
"2276";"LILLE FLANDRES";"STRASBOURG";"152";25;"132";""
"2277";"LILLE FLANDRES";"TGV HAUTE PICARDIE";"33";NA;"22,5";""
"2278";"LILLE FLANDRES";"TOULON";"196";30;"155";""
"2279";"LILLE FLANDRES";"TOULOUSE MATABIAU";"188";30;"150";""
"2280";"LILLE FLANDRES";"TOURCOING";"7,7";NA;"4,3";""
"2281";"LILLE FLANDRES";"TOURS";"134";NA;"101";""
"2282";"LILLE FLANDRES";"VALENCE";"159";NA;"127";""
"2283";"LILLE FLANDRES";"VALENCE TGV";"159";25;"127";""
"2284";"LILLE FLANDRES";"VENDOME VILLIERS SUR LOIR";"134";25;"101";""
"2285";"LILLE FLANDRES";"VIERZON VILLE";"123";25;"97";""
"2286";"LIMOGES BENEDICTINS";"AEROPORT CDG 2 TGV ROISSY";"111";25;"88";""
"2287";"LIMOGES BENEDICTINS";"BRIVE LA GAILLARDE";"32";NA;"21";""
"2288";"LIMOGES BENEDICTINS";"CHATEAUROUX";"41";NA;"26,5";""
"2289";"LIMOGES BENEDICTINS";"JUVISY";"90";20;"62";""
"2290";"LIMOGES BENEDICTINS";"JUVISY TGV";"90";20;"62";""
"2291";"LIMOGES BENEDICTINS";"LA SOUTERRAINE";"21,5";NA;"14,7";""
"2292";"LIMOGES BENEDICTINS";"LES AUBRAIS ORLEANS";"70";15;"46";""
"2293";"LIMOGES BENEDICTINS";"LILLE EUROPE";"149";25;"119";""
"2294";"LIMOGES BENEDICTINS";"MARNE LA VALLEE CHESSY";"111";25;"88";""
"2295";"LIMOGES BENEDICTINS";"VIERZON VILLE";"53";15;"36";""
"2296";"LISON";"AIME LA PLAGNE";"165";25;"125";""
"2297";"LISON";"ALBERTVILLE";"165";25;"125";""
"2298";"LISON";"BERNAY";"39";NA;"26";""
"2299";"LISON";"BOURG ST MAURICE";"165";25;"125";""
"2300";"LISON";"LISIEUX";"32";NA;"22";""
"2301";"LISON";"MASSY PALAISEAU";"86";20;"52";""
"2302";"LISON";"MOUTIERS SALINS BRIDES";"165";25;"125";""
"2303";"LONS LE SAUNIER";"MONTBELIARD";"44";NA;"30";""
"2304";"LORIENT ";"AEROPORT CDG 2 TGV ROISSY";"140";20;"100";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2305";"LORIENT ";" ARRAS";"153";25;"116";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2306";"LORIENT ";" DOUAI";"153";25;"116";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2307";"LORIENT ";"MARNE LA VALLEE CHESSY";"140";20;"100";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2308";"LORIENT ";"PARIS MONTPARNASSE 1 ET 2";"140";20;"100";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2309";"LORIENT ";" TGV HAUTE PICARDIE";"140";25;"106";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2310";"LORIENT";"AEROPORT CDG 2 TGV ROISSY";"123";20;"88";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2311";"LORIENT";"AIME LA PLAGNE";"179";30;"137";""
"2312";"LORIENT";"AIX LES BAINS LE REVARD";"179";30;"137";""
"2313";"LORIENT";"ALBERTVILLE";"179";30;"137";""
"2314";"LORIENT";"ANNECY";"179";30;"137";""
"2315";"LORIENT";"ANNEMASSE";"179";30;"137";""
"2316";"LORIENT";"ARRAS";"150";25;"114";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2317";"LORIENT";"AURAY";"14,3";NA;"9,6";""
"2318";"LORIENT";"BOURG ST MAURICE";"179";30;"137";""
"2319";"LORIENT";"DOUAI";"150";25;"114";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2320";"LORIENT";"MARNE LA VALLEE CHESSY";"123";20;"88";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2321";"LORIENT";"MOUTIERS SALINS BRIDES";"179";30;"137";""
"2322";"LORIENT";"NANTES";"49";NA;"35";""
"2323";"LORIENT";"PARIS MONTPARNASSE 1 ET 2";"127";20;"91";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2324";"LORIENT";"QUIMPER";"22";NA;"14,8";""
"2325";"LORIENT";"REDON";"33";NA;"22,5";""
"2326";"LORIENT";"RENNES";"48";NA;"34";""
"2327";"LORIENT";"ROSPORDEN";"17,5";NA;"11,5";""
"2328";"LORIENT";"SALLANCHES COMBLOUX MEGEVE";"179";30;"137";""
"2329";"LORIENT";"ST GERVAIS LES BAINS LE FAYET";"179";30;"137";""
"2330";"LORIENT";"ST MICHEL VALLOIRE";"179";NA;"137";""
"2331";"LORIENT";"TGV HAUTE PICARDIE";"134";25;"106";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2332";"LORIENT";"VANNES";"18,5";NA;"12,6";""
"2333";"LORIENT";"VITRE";"54";NA;"38";""
"2334";"LORRAINE TGV ";"FUTUROSCOPE";"154";25;"116";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2335";"LORRAINE TGV ";" NANTES";"159";25;"121";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2336";"LORRAINE TGV ";"POITIERS";"154";25;"116";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2337";"LORRAINE TGV ";"RENNES";"173";25;"132";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"2338";"LORRAINE TGV";"AEROPORT CDG 2 TGV ROISSY";"110";20;"77";""
"2339";"LORRAINE TGV";"ARRAS";"122";25;"102";""
"2340";"LORRAINE TGV";"DOUAI";"122";25;"102";""
"2341";"LORRAINE TGV";"FUTUROSCOPE";"149";25;"112";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2342";"LORRAINE TGV";"LIBOURNE";"185";30;"141";""
"2343";"LORRAINE TGV";"LILLE EUROPE";"122";25;"102";""
"2344";"LORRAINE TGV";"MARNE LA VALLEE CHESSY";"110";20;"77";""
"2345";"LORRAINE TGV";"NANTES";"158";25;"121";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2346";"LORRAINE TGV";"PARIS EST";"110";20;"77";""
"2347";"LORRAINE TGV";"POITIERS";"149";25;"112";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2348";"LORRAINE TGV";"RENNES";"158";25;"121";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"2349";"LORRAINE TGV";"ROUEN RIVE DROITE";"118";20;"85";""
"2350";"LORRAINE TGV";"SAVERNE";"42";NA;"31";""
"2351";"LORRAINE TGV";"ST PIERRE DES CORPS";"140";25;"106";""
"2352";"LORRAINE TGV";"TGV HAUTE PICARDIE";"115";25;"95";""
"2353";"LORRAINE TGV";"VENDOME VILLIERS SUR LOIR";"140";25;"106";""
